Layer,Dataset,R² (Optimized),R² (Fixed Center),Mean Radial Error,Relative Error,Coef. Variation,Diagonal Span,Span/Radius Ratio
3,Temporal,0.997400998626315,0.93193126,0.037501214990991016,0.041232655598269434,0.04780961299062495,2.370814,2.606714493866184
3,Control,0.9848673894479775,0.16608709,0.12922496930896313,0.04116604217899386,0.0483853650762873,7.042912,2.2435974585091008
8,Temporal,0.9625112662841816,0.9539061,0.16612046052171603,0.13953661692992667,0.19541352489197025,4.2088933,3.535354586252585
8,Control,0.9975906354942491,0.35961843,0.07090253749531554,0.01654798459571826,0.020845998701783365,8.749815,2.042124425135687
12,Temporal,0.9785123407867214,0.9778191,0.24473888208495007,0.12271471802921269,0.14807080863051228,6.2388825,3.128243070306295
12,Control,0.9971040321118549,0.3241518,0.13370868380134596,0.020221865682347285,0.023365115440479454,13.8107195,2.088708874879982
16,Temporal,0.831880019651699,0.81441516,2.8413746853515773,0.3408347688733039,0.42781047907089015,50.507008,6.058526652677413
16,Control,0.9971847029909737,0.3945161,1.2059846432497499,0.017014403111509774,0.02398151019141109,148.91365,2.1009196865077975
